Time            	C4              	C2              	S0              	C2H4O           	E1              	E3              	E2              	CH2O            	A2              	B1              	B2              	B3              	A1              	M1              	M2              	M3              	M4              	M5              	M6              	C3              
2.5703957828e-12	2.5000000000e+00	2.5000000000e+00	2.0830718179e-03	0.0000000000e+00	2.3333662821e-01	3.2408926065e-18	6.0684871025e-05	0.0000000000e+00	2.0738264686e-15	7.6332547847e-01	1.1941366252e-03	2.4015460574e-12	1.2858506197e-18	4.5308141831e-18	5.4853482107e-17	1.3117413980e-22	4.4628706750e-14	4.0894302054e-16	1.1174215276e-26	0.0000000000e+00
2.6302679919e-12	2.5000000000e+00	2.5000000000e+00	2.0464209790e-03	0.0000000000e+00	2.2923116041e-01	3.2926063591e-18	6.1612303381e-05	0.0000000000e+00	2.1707080493e-15	7.6744578751e-01	1.2150187916e-03	2.4929246903e-12	1.3067292733e-18	4.6111242719e-18	5.7373221956e-17	1.3937099144e-22	4.7551697486e-14	4.4667354642e-16	1.2505325614e-26	0.0000000000e+00
2.6915348039e-12	2.5000000000e+00	2.5000000000e+00	2.0095839112e-03	0.0000000000e+00	2.2510483205e-01	3.3445398466e-18	6.2543658611e-05	0.0000000000e+00	2.2719480699e-15	7.7158695106e-01	1.2360893169e-03	2.5872264967e-12	1.3276967990e-18	4.6918870787e-18	5.9996017006e-17	1.4801931611e-22	5.0656848353e-14	4.8780786605e-16	1.3992960437e-26	0.0000000000e+00
2.7542287033e-12	2.5000000000e+00	2.5000000000e+00	1.9725751511e-03	0.0000000000e+00	2.2095927146e-01	3.3966703565e-18	6.3478528476e-05	0.0000000000e+00	2.3777305913e-15	7.7574733313e-01	1.2573417300e-03	2.6845090295e-12	1.3487440351e-18	4.7730730348e-18	6.2725485203e-17	1.5713983059e-22	5.3954727683e-14	5.3264476637e-16	1.5655259161e-26	0.0000000000e+00
2.8183829313e-12	2.5000000000e+00	2.5000000000e+00	1.9354098091e-03	0.0000000000e+00	2.1679617125e-01	3.4489743022e-18	6.4416489033e-05	0.0000000000e+00	2.4882465062e-15	7.7992523331e-01	1.2787691372e-03	2.7848284917e-12	1.3698614670e-18	4.8546513813e-18	6.5565340748e-17	1.6675392962e-22	5.7456449569e-14	5.8150836060e-16	1.7512428079e-26	0.0000000000e+00
2.8840315031e-12	2.5000000000e+00	2.5000000000e+00	1.8981035657e-03	0.0000000000e+00	2.1261728788e-01	3.5014272275e-18	6.5357100720e-05	0.0000000000e+00	2.6036937186e-15	7.8411888724e-01	1.3003642159e-03	2.8882395201e-12	1.3910392295e-18	4.9365901776e-18	6.8519394953e-17	1.7688369078e-22	6.1173696214e-14	6.3475013614e-16	1.9586971144e-26	0.0000000000e+00
2.9512092267e-12	2.5000000000e+00	2.5000000000e+00	1.8606726664e-03	0.0000000000e+00	2.0842444108e-01	3.5540038140e-18	6.6299908482e-05	0.0000000000e+00	2.7242773214e-15	7.8832646713e-01	1.3221192078e-03	2.9947949566e-12	1.4122671095e-18	5.0188563128e-18	7.1591557011e-17	1.8755187836e-22	6.5118740677e-14	6.9275115748e-16	2.1903945891e-26	0.0000000000e+00
3.0199517204e-12	2.5000000000e+00	2.5000000000e+00	1.8231339146e-03	0.0000000000e+00	2.0421951313e-01	3.6066778905e-18	6.7244441949e-05	0.0000000000e+00	2.8502097725e-15	7.9254608260e-01	1.3440259142e-03	3.1045456092e-12	1.4335345497e-18	5.1014155210e-18	7.4785834662e-17	1.9878194597e-22	6.9304469973e-14	7.5592443441e-16	2.4491247143e-26	0.0000000000e+00
3.0902954325e-12	2.5000000000e+00	2.5000000000e+00	1.7855046633e-03	0.0000000000e+00	2.0000444781e-01	3.6594224454e-18	6.8190215647e-05	0.0000000000e+00	2.9817110680e-15	7.9677578162e-01	1.3660756916e-03	3.2175400015e-12	1.4548306538e-18	5.1842324000e-18	7.8106334757e-17	2.1059803803e-22	7.3744408477e-14	8.2471746670e-16	2.7379921426e-26	0.0000000000e+00
3.1622776602e-12	2.5000000000e+00	2.5000000000e+00	1.7478028043e-03	0.0000000000e+00	1.9578124929e-01	3.7122096416e-18	6.9136729270e-05	0.0000000000e+00	3.1190089126e-15	8.0101355173e-01	1.3882594480e-03	3.3338241117e-12	1.4761441925e-18	5.2672704343e-18	8.1557263712e-17	2.2302498988e-22	7.8452741581e-14	8.9961497719e-16	3.0604515317e-26	0.0000000000e+00
3.2359365693e-12	2.5000000000e+00	2.5000000000e+00	1.7100467561e-03	0.0000000000e+00	1.9155198073e-01	3.7650108340e-18	7.0083467995e-05	0.0000000000e+00	3.2623388856e-15	8.0525732140e-01	1.4105676414e-03	3.4534411012e-12	1.4974636105e-18	5.3504920218e-18	8.5142927846e-17	2.3608832664e-22	8.3444339532e-14	9.8114184535e-16	3.4203461237e-26	0.0000000000e+00
3.3113112148e-12	2.5000000000e+00	2.5000000000e+00	1.6722554494e-03	0.0000000000e+00	1.8731876268e-01	3.8177965899e-18	7.1029902853e-05	0.0000000000e+00	3.4119446025e-15	8.0950496169e-01	1.4329902782e-03	3.5764310323e-12	1.5187770348e-18	5.4338585048e-18	8.8867733598e-17	2.4981426073e-22	8.8734781381e-14	1.0698662547e-15	3.8219504619e-26	0.0000000000e+00
3.3884415614e-12	2.5000000000e+00	2.5000000000e+00	1.6344483111e-03	0.0000000000e+00	1.8308377123e-01	3.8705367130e-18	7.1975491147e-05	0.0000000000e+00	3.5680778705e-15	8.1375428805e-01	1.4555169140e-03	3.7028305772e-12	1.5400722842e-18	5.5173302052e-18	9.2736187619e-17	2.6422968788e-22	9.4340378983e-14	1.1664030674e-15	4.2700176688e-26	0.0000000000e+00
3.4673685045e-12	2.5000000000e+00	2.5000000000e+00	1.5966452454e-03	0.0000000000e+00	1.7884923598e-01	3.9232002699e-18	7.2919676936e-05	0.0000000000e+00	3.7309988383e-15	8.1800306244e-01	1.4781366551e-03	3.8326727165e-12	1.5613368802e-18	5.6008664644e-18	9.6752896736e-17	2.7936218185e-22	1.0027820093e-13	1.2714174410e-15	4.7698317581e-26	0.0000000000e+00
3.5481338923e-12	2.5000000000e+00	2.5000000000e+00	1.5588666135e-03	0.0000000000e+00	1.7461743769e-01	3.9757556197e-18	7.3861891568e-05	0.0000000000e+00	3.9009761376e-15	8.2224899564e-01	1.5008381618e-03	3.9659864297e-12	1.5825580591e-18	5.6844256878e-18	1.0092256778e-16	2.9523998756e-22	1.0656609637e-13	1.3856287016e-15	5.3272654959e-26	0.0000000000e+00
3.6307805477e-12	2.5000000000e+00	2.5000000000e+00	1.5211332104e-03	0.0000000000e+00	1.7039070575e-01	4.0281704473e-18	7.4801554272e-05	0.0000000000e+00	4.0782870171e-15	8.2648974983e-01	1.5236096529e-03	4.1027963779e-12	1.6037227848e-18	5.7679653936e-18	1.0525000728e-16	3.1189201279e-22	1.1322271854e-13	1.5098144901e-15	5.9488443761e-26	0.0000000000e+00
3.7153522910e-12	2.5000000000e+00	2.5000000000e+00	1.4834662405e-03	0.0000000000e+00	1.6617141536e-01	4.0804117999e-18	7.5738072814e-05	0.0000000000e+00	4.2632174666e-15	8.3072294141e-01	1.5464389126e-03	4.2431225794e-12	1.6248177643e-18	5.8514422668e-18	1.0974012100e-16	3.2934781841e-22	1.2026754802e-13	1.6448151972e-15	6.6418173341e-26	0.0000000000e+00
3.8018939632e-12	2.5000000000e+00	2.5000000000e+00	1.4458872896e-03	0.0000000000e+00	1.6196198447e-01	4.1324461266e-18	7.6670844212e-05	0.0000000000e+00	4.4560623308e-15	8.3494614410e-01	1.5693132980e-03	4.3869800783e-12	1.6458294633e-18	5.9348122182e-18	1.1439791336e-16	3.4763760706e-22	1.2772091539e-13	1.7915387055e-15	7.4142348772e-26	0.0000000000e+00
3.8904514499e-12	2.5000000000e+00	2.5000000000e+00	1.4084182954e-03	0.0000000000e+00	1.5776487045e-01	4.1842393218e-18	7.7599255510e-05	0.0000000000e+00	4.6571254116e-15	8.3915689224e-01	1.5922197495e-03	4.5343786097e-12	1.6667441236e-18	6.0180304475e-18	1.1922848670e-16	3.6679221035e-22	1.3560402349e-13	1.9509654554e-15	8.2750353797e-26	0.0000000000e+00
3.9810717055e-12	2.5000000000e+00	2.5000000000e+00	1.3710815155e-03	0.0000000000e+00	1.5358256651e-01	4.2357567716e-18	7.8522684614e-05	0.0000000000e+00	4.8667195579e-15	8.4335268448e-01	1.6151448027e-03	4.6853222597e-12	1.6875477822e-18	6.1010515127e-18	1.2423704036e-16	3.8684307455e-22	1.4393896870e-13	2.1241538543e-15	9.2341403600e-26	0.0000000000e+00
4.0738027780e-12	2.5000000000e+00	2.5000000000e+00	1.3338994930e-03	0.0000000000e+00	1.4941759782e-01	4.2869634045e-18	7.9440501200e-05	0.0000000000e+00	5.0851667413e-15	8.4753098758e-01	1.6380746017e-03	4.8398091244e-12	1.7082262914e-18	6.1838294032e-18	1.2942886967e-16	4.0782224482e-22	1.5274876156e-13	2.3122460487e-15	1.0302559634e-25	0.0000000000e+00
4.1686938347e-12	2.5000000000e+00	2.5000000000e+00	1.2968950198e-03	0.0000000000e+00	1.4527251743e-01	4.3378237445e-18	8.0352067666e-05	0.0000000000e+00	5.3127981170e-15	8.5168924056e-01	1.6609949156e-03	4.9978309668e-12	1.7287653405e-18	6.2663176189e-18	1.3480936476e-16	4.2976234801e-22	1.6205734622e-13	2.5164740791e-15	1.1492507326e-25	0.0000000000e+00
