Time            	A2              	E1              	E2              	E3              	B1              	M3              	B3              	M1              	M2              	M4              	B2              	C4              	M5              	M6              	CH2O            	C3              	C2              	C2H4O           	S0              	A1              
2.4547089157e-07	1.5513335342e-10	4.4321563019e-07	6.6063905357e-09	3.2519044083e-21	9.9608397992e-01	7.6529165694e-16	4.4964480288e-11	1.1958582309e-13	6.2365643173e-11	9.6174986922e-10	3.9097654306e-03	2.5000000000e+00	5.7147639190e-06	4.4909855475e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839059851e-08	1.4117329401e-17
2.5118864315e-07	1.5513452280e-10	4.4321557118e-07	6.6063896561e-09	3.2519039754e-21	9.9608384730e-01	8.0138026169e-16	4.4964474301e-11	1.2522389884e-13	6.5306588920e-11	9.6175714964e-10	3.9097649101e-03	2.5000000000e+00	5.8479035509e-06	4.5957041513e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839048023e-08	1.4446480324e-17
2.5703957828e-07	1.5513571943e-10	4.4321551079e-07	6.6063887560e-09	3.2519035323e-21	9.9608371159e-01	8.3917009619e-16	4.4964468175e-11	1.3112772766e-13	6.8386171663e-11	9.6176459964e-10	3.9097643774e-03	2.5000000000e+00	5.9841443146e-06	4.7028618951e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839035919e-08	1.4783297949e-17
2.6302679919e-07	1.5513694393e-10	4.4321544900e-07	6.6063878350e-09	3.2519030789e-21	9.9608357271e-01	8.7874132728e-16	4.4964461906e-11	1.3730983198e-13	7.1610924374e-11	9.6177222319e-10	3.9097638323e-03	2.5000000000e+00	6.1235584406e-06	4.8125155904e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839023533e-08	1.5127960846e-17
2.6915348039e-07	1.5513819695e-10	4.4321538577e-07	6.6063868925e-09	3.2519026150e-21	9.9608343061e-01	9.2017789836e-16	4.4964455491e-11	1.4378332407e-13	7.4987687779e-11	9.6178002431e-10	3.9097632745e-03	2.5000000000e+00	6.2662198416e-06	4.9247233720e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839010859e-08	1.5480651746e-17
2.7542287033e-07	1.5513947916e-10	4.4321532106e-07	6.6063859280e-09	3.2519021402e-21	9.9608328519e-01	9.6356770716e-16	4.4964448927e-11	1.5056193392e-13	7.8523624854e-11	9.6178800716e-10	3.9097627037e-03	2.5000000000e+00	6.4122041517e-06	5.0395447285e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8838997889e-08	1.5841557634e-17
2.8183829313e-07	1.5514079124e-10	4.4321525485e-07	6.6063849411e-09	3.2519016544e-21	9.9608313639e-01	1.0090027920e-15	4.4964442210e-11	1.5766003825e-13	8.2226236001e-11	9.6179617595e-10	3.9097621196e-03	2.5000000000e+00	6.5615887667e-06	5.1570405342e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8838984618e-08	1.6210869850e-17
2.8840315031e-07	1.5514213388e-10	4.4321518710e-07	6.6063839312e-09	3.2519011573e-21	9.9608298412e-01	1.0565795268e-15	4.4964435336e-11	1.6509269102e-13	8.6103374937e-11	9.6180453503e-10	3.9097615219e-03	2.5000000000e+00	6.7144528848e-06	5.2772730810e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8838971037e-08	1.6588784190e-17
2.9512092267e-07	1.5514350780e-10	4.4321511776e-07	6.6063828978e-09	3.2519006486e-21	9.9608282830e-01	1.1063988252e-15	4.4964428302e-11	1.7287565526e-13	9.0163265328e-11	9.6181308883e-10	3.9097609103e-03	2.5000000000e+00	6.8708775488e-06	5.4003061118e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8838957140e-08	1.6975501012e-17
3.0199517204e-07	1.5514491372e-10	4.4321504682e-07	6.6063818402e-09	3.2519001281e-21	9.9608266885e-01	1.1585663543e-15	4.4964421105e-11	1.8102543654e-13	9.4414518214e-11	9.6182184187e-10	3.9097602845e-03	2.5000000000e+00	7.0309456890e-06	5.5262048537e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8838942919e-08	1.7371225339e-17
