Time            	A2              	E1              	E2              	E3              	B1              	M3              	B3              	M1              	M2              	M4              	B2              	C4              	M5              	M6              	CH2O            	C3              	C2              	C2H4O           	S0              	A1              
2.6915348039e-12	1.8616312140e+00	-1.6409361728e+08	-2.7738503560e+05	-1.3535058941e-07	-3.2189189241e+08	1.9350482773e-09	9.4938363517e+00	1.4198680482e-07	1.7010817960e-04	1.0846707742e+01	5.0353059606e+08	-1.8163872615e+08	3.0177838572e-01	8.5482972300e-11	1.7019817515e-04	9.4251602072e-13	1.6437099117e+08	1.3010117342e+01	-1.7267723831e+07	-5.3927136199e-08
2.7542287033e-12	1.8993783092e+00	-1.3228263007e+08	-2.7882546461e+05	-1.3631240471e-07	-3.3719522206e+08	1.9459426305e-09	9.2895358964e+00	1.3944078242e-07	1.6998815877e-04	1.1097226754e+01	4.8367688148e+08	-1.4648168203e+08	3.1843945548e-01	9.2711194292e-11	1.7007518958e-04	9.8464149411e-13	1.3256144412e+08	1.3315044519e+01	-1.3920226492e+07	-5.4356776602e-08
2.8183829313e-12	1.9369834631e+00	-1.0610458858e+08	-2.7996808273e+05	-1.3708284752e-07	-3.4661680500e+08	1.9561707558e-09	9.0794022232e+00	1.3732626912e-07	1.6986395831e-04	1.1347327364e+01	4.6416682767e+08	-1.1755004537e+08	3.3587758632e-01	1.0051367213e-10	1.6994853973e-04	1.0284943868e-12	1.0638454498e+08	1.3620188413e+01	-1.1165488706e+07	-5.4701911940e-08
2.8840315031e-12	1.9743992645e+00	-8.4671061007e+07	-2.8085899561e+05	-1.3769167495e-07	-3.5115147129e+08	1.9657433770e-09	8.8638308093e+00	1.3557481609e-07	1.6973572278e-04	1.1596683777e+01	4.4501338856e+08	-9.3861940060e+07	3.5411901433e-01	1.0893241033e-10	1.6981828856e-04	1.0741638830e-12	8.4951908052e+07	1.3925202056e+01	-8.9100200574e+06	-5.4975699837e-08
2.9512092267e-12	2.0115775588e+00	-6.7213025331e+07	-2.8153809593e+05	-1.3816463667e-07	-3.5166147632e+08	1.9746724111e-09	8.6432363789e+00	1.3412716705e-07	1.6960356768e-04	1.1844964054e+01	4.2622891260e+08	-7.4567459153e+07	3.7319021946e-01	1.1801215237e-10	1.6968448094e-04	1.1217466495e-12	6.7494551209e+07	1.4229731832e+01	-7.0728957256e+06	-5.5189526286e-08
3.0199517204e-12	2.0484695911e+00	-5.3068452111e+07	-2.8203970921e+05	-1.3852389148e-07	-3.4889019767e+08	1.9829708862e-09	8.4180516225e+00	1.3293230226e-07	1.6946758235e-04	1.2091831093e+01	4.0782511635e+08	-5.8934941626e+07	3.9311788780e-01	1.2780053083e-10	1.6954714541e-04	1.1713475599e-12	5.3350479336e+07	1.4533418572e+01	-5.5844498049e+06	-5.5353189818e-08
3.0902954325e-12	2.0850261579e+00	-4.1670590652e+07	-2.8239320306e+05	-1.3878840033e-07	-3.4347505454e+08	1.9906528552e-09	8.1887257853e+00	1.3194653662e-07	1.6932783266e-04	1.2336943690e+01	3.8981305802e+08	-4.6338026506e+07	4.1392887215e-01	1.3834822373e-10	1.6940629579e-04	1.2230804824e-12	4.1952971104e+07	1.4835898720e+01	-4.3850426512e+06	-5.5475075262e-08
3.1622776602e-12	2.1211977669e+00	-3.2537011098e+07	-2.8262355707e+05	-1.3897429396e-07	-3.3595959198e+08	1.9977333062e-09	7.9557231258e+00	1.3113267603e-07	1.6918436359e-04	1.2579957652e+01	3.7220311131e+08	-3.6243542428e+07	4.3565015110e-01	1.4970911702e-10	1.6926193272e-04	1.2770691361e-12	3.2819621639e+07	1.5136805570e+01	-3.4239077724e+06	-5.5562316267e-08
3.2359365693e-12	2.1569348048e+00	-2.5259438351e+07	-2.8275189163e+05	-1.3909521397e-07	-3.2680469045e+08	2.0042280705e-09	7.7195212504e+00	1.3045923465e-07	1.6903720149e-04	1.2820526970e+01	3.5500493958e+08	-2.8200272285e+07	4.5830878669e-01	1.6194047332e-10	1.6911404507e-04	1.3334480204e-12	2.5542176963e+07	1.5435770562e+01	-2.6580820425e+06	-5.5620946097e-08
3.3113112148e-12	2.1921877121e+00	-1.9494396293e+07	-2.8279595442e+05	-1.3916262674e-07	-3.1639888039e+08	2.0101537278e-09	7.4806093295e+00	1.2989971460e-07	1.6888635632e-04	1.3058305049e+01	3.3822747061e+08	-2.1828613434e+07	4.8193188099e-01	1.7510310716e-10	1.6896261125e-04	1.3923634236e-12	1.9777178707e+07	1.5732424642e+01	-2.0514211862e+06	-5.5656036399e-08
3.3884415614e-12	2.2269071634e+00	-1.4954667304e+07	-2.8277056468e+05	-1.3918610992e-07	-3.0506775668e+08	2.0155275107e-09	7.2394862015e+00	1.2943194836e-07	1.6873182359e-04	1.3292945975e+01	3.2187887234e+08	-1.6811138924e+07	5.0654653165e-01	1.8926156668e-10	1.6880760037e-04	1.4539745174e-12	1.5237424069e+07	1.6026399670e+01	-1.5737010559e+06	-5.5671823881e-08
3.4673685045e-12	2.2610442536e+00	-1.1401557069e+07	-2.8268801547e+05	-1.3917361197e-07	-2.9308250408e+08	2.0203672071e-09	6.9966583730e+00	1.2903750324e-07	1.6857358611e-04	1.3524105832e+01	3.0596652950e+08	-1.2884048736e+07	5.3217978687e-01	2.0448432194e-10	1.6864897332e-04	1.5184545423e-12	1.1684231028e+07	1.6317329872e+01	-1.1998036518e+06	-5.5671825038e-08
3.5481338923e-12	2.2945506882e+00	-8.6379446396e+06	-2.8255843515e+05	-1.3913168532e-07	-2.8066755625e+08	2.0246910625e-09	6.7526379265e+00	1.2870114630e-07	1.6841161567e-04	1.3751444049e+01	2.9049702174e+08	-9.8294888485e+06	5.5885859987e-01	2.2084395997e-10	1.6848668375e-04	1.5859920926e-12	8.9204887643e+06	1.6604853337e+01	-9.0898577377e+05	-5.5658939240e-08
3.6307805477e-12	2.3273789759e+00	-6.5020875057e+06	-2.8239010952e+05	-1.3906569423e-07	-2.6800742194e+08	2.0285176829e-09	6.5079403434e+00	1.2841036734e-07	1.6824587434e-04	1.3974624772e+01	2.7547610328e+08	-7.4687047391e+06	5.8660978321e-01	2.3841738664e-10	1.6832067891e-04	1.6567925071e-12	6.7844630538e+06	1.6888613531e+01	-6.8422712394e+05	-5.5635540614e-08
3.7153522910e-12	2.3594826241e+00	-4.8621419740e+06	-2.8218976687e+05	-1.3897999859e-07	-2.5525272247e+08	2.0318659376e-09	6.2630822584e+00	1.2815495702e-07	1.6807631587e-04	1.4193318251e+01	2.6090868447e+08	-5.6559854225e+06	6.1545996331e-01	2.5728603544e-10	1.6815090037e-04	1.7310793748e-12	5.1443169319e+06	1.7168260839e+01	-5.1165368164e+05	-5.5603559317e-08
3.8018939632e-12	2.3908163343e+00	-3.6113566700e+06	-2.8196282790e+05	-1.3887811520e-07	-2.4252548752e+08	2.0347548636e-09	6.0185791556e+00	1.2792663680e-07	1.6790288665e-04	1.4407202241e+01	2.4679881547e+08	-4.2733514095e+06	6.4543553537e-01	2.7753608334e-10	1.6797728476e-04	1.8090961624e-12	3.8933044451e+06	1.7443454111e+01	-3.8003191160e+05	-5.5564552828e-08
3.8904514499e-12	2.4213361965e+00	-2.6638882697e+06	-2.8171362334e+05	-1.3876285813e-07	-2.2992376550e+08	2.0372035720e-09	5.7749430230e+00	1.2771873675e-07	1.6772552680e-04	1.4615963392e+01	2.3314967235e+08	-3.2259303430e+06	6.7656261911e-01	2.9925867375e-10	1.6779976426e-04	1.8911079753e-12	2.9455866003e+06	1.7713862208e+01	-2.8032845001e+05	-5.5519768005e-08
3.9810717055e-12	2.4509998816e+00	-1.9511889237e+06	-2.8144558181e+05	-1.3863645991e-07	-2.1752560491e+08	2.0392311570e-09	5.5326799808e+00	1.2752591742e-07	1.6754417086e-04	1.4819298636e+01	2.1996354585e+08	-2.4379644556e+06	7.0886701561e-01	3.2255014679e-10	1.6761826713e-04	1.9774034592e-12	2.2326189772e+06	1.7979165534e+01	-2.0532995005e+05	-5.5470194667e-08
4.0738027780e-12	2.4797668304e+00	-1.4189130760e+06	-2.8116139073e+05	-1.3850067534e-07	-2.0539246448e+08	2.0408566072e-09	5.2922878999e+00	1.2734393166e-07	1.6735874861e-04	1.5016916547e+01	2.0724183300e+08	-1.8493920507e+06	7.4237416562e-01	3.4751227697e-10	1.6743271812e-04	2.0682968550e-12	1.7000587073e+06	1.8239057543e+01	-1.4931758400e+05	-5.5416611469e-08
