Time            	C2              	M5              	A1              	S0              	E2              	E1              	C3              	A2              	C2H4O           	CH2O            	E3              	M2              	M3              	M4              	B1              	C4              	B2              	B3              	M6              	M1              
3.3113112148e-12	8.1196929519e+09	9.1984561394e-07	1.7661695165e-08	-4.5260075958e+06	1.0601290912e+07	-8.1302942428e+09	1.6432830862e-19	1.7153403710e-06	1.0831998855e-04	1.7559862607e-06	9.6673184157e-08	1.6718010485e-06	1.7376170760e-12	1.0568480256e-04	8.0300587651e+09	-8.1242189595e+09	9.4160194286e+07	9.5071283139e-02	4.2321996048e-18	6.6521779424e-08
3.3884415614e-12	8.1089191593e+09	9.7842393912e-07	1.7633820146e-08	-4.5200006754e+06	1.0584549416e+07	-8.1195037087e+09	1.7559944619e-19	1.7285073990e-06	1.1221703798e-04	1.7980187680e-06	9.6520593519e-08	1.7139364337e-06	1.8054482196e-12	1.0951010664e-04	8.0212968731e+09	-8.1134391600e+09	9.2142286737e+07	9.5628677379e-02	4.6155268603e-18	6.6446708655e-08
3.4673685045e-12	8.0979092151e+09	1.0405286315e-06	1.7605335203e-08	-4.5138620884e+06	1.0567441621e+07	-8.1084766567e+09	1.8758142316e-19	1.7411938980e-06	1.1622747655e-04	1.8409616506e-06	9.6364664125e-08	1.7569844512e-06	1.8753252176e-12	1.1344575402e-04	8.0122945129e+09	-8.1024230772e+09	9.0128564174e+07	9.6152707552e-02	5.0327143465e-18	6.6369988875e-08
3.5481338923e-12	8.0866582952e+09	1.1063555371e-06	1.7576227939e-08	-4.5075891452e+06	1.0549960076e+07	-8.0972082553e+09	2.0031499703e-19	1.7533785106e-06	1.2035301628e-04	1.8848329772e-06	9.6205328097e-08	1.8009632156e-06	1.9472858779e-12	1.1749328223e-04	8.0030457023e+09	-8.0911658844e+09	8.8120181963e+07	9.6642066454e-02	5.4866631967e-18	6.6291586341e-08
3.6307805477e-12	8.0751614936e+09	1.1761100608e-06	1.7546485743e-08	-4.5011791116e+06	1.0532097206e+07	-8.0856935908e+09	2.1384301637e-19	1.7650400054e-06	1.2459529649e-04	1.9296510966e-06	9.6042516407e-08	1.8458911228e-06	2.0213679310e-12	1.2165414642e-04	7.9935443601e+09	-8.0796626727e+09	8.6118312479e+07	9.7095458435e-02	5.9805137048e-18	6.6211466690e-08
3.7153522910e-12	8.0634138216e+09	1.2500075295e-06	1.7516095795e-08	-4.4946292054e+06	1.0513845310e+07	-8.0739276669e+09	2.2821051506e-19	1.7761573332e-06	1.2895587665e-04	1.9754346380e-06	9.5876158871e-08	1.8917868497e-06	2.0976090164e-12	1.2592971178e-04	7.9837843074e+09	-8.0679084508e+09	8.4124143293e+07	9.7511603035e-02	6.5176640625e-18	6.6129594956e-08
3.8018939632e-12	8.0514102076e+09	1.3282735608e-06	1.7485045063e-08	-4.4879366002e+06	1.0495196558e+07	-8.0619054041e+09	2.4346481033e-19	1.7867096863e-06	1.3343622902e-04	2.0222025113e-06	9.5706184145e-08	1.9386693547e-06	2.1760466703e-12	1.3032124577e-04	7.9737592688e+09	-8.0558981442e+09	8.2138875213e+07	9.7889238781e-02	7.1017904607e-18	6.6045935533e-08
3.8904514499e-12	8.0391454962e+09	1.4111444350e-06	1.7453320303e-08	-4.4810984202e+06	1.0476142996e+07	-8.0496216392e+09	2.5965560414e-19	1.7966765586e-06	1.3803773116e-04	2.0699739069e-06	9.5532519732e-08	1.9865578776e-06	2.2567183199e-12	1.3482991017e-04	7.9634628743e+09	-8.0436265946e+09	8.0163720257e+07	9.8227127078e-02	7.7368686734e-18	6.5960452279e-08
3.9810717055e-12	8.0266144483e+09	1.4988674743e-06	1.7420908058e-08	-4.4741117451e+06	1.0456676541e+07	-8.0370711248e+09	2.7683508935e-19	1.8060378100e-06	1.4276165820e-04	2.1187682950e-06	9.5355091961e-08	2.0354719389e-06	2.3396612723e-12	1.3945675292e-04	7.9528886605e+09	-8.0310885600e+09	7.8199899427e+07	9.8524056335e-02	8.4271971600e-18	6.5873108397e-08
4.0738027780e-12	8.0138117402e+09	1.5917014232e-06	1.7387794656e-08	-4.4669736066e+06	1.0436788982e+07	-8.0242485292e+09	2.9505805948e-19	1.8147737321e-06	1.4760917501e-04	2.1686054254e-06	9.5173825995e-08	2.0854313393e-06	2.4249127115e-12	1.4420269985e-04	7.9420300733e+09	-8.0182787138e+09	7.6248640417e+07	9.8778846144e-02	9.1774218498e-18	6.5783866493e-08
