Time            	C2              	M5              	A1              	S0              	E2              	E1              	C3              	A2              	C2H4O           	CH2O            	E3              	M2              	M3              	M4              	B1              	C4              	B2              	B3              	M6              	M1              
2.8840315031e-12	2.5000000000e+00	4.7855076028e-19	4.8676878463e-20	2.6486071171e-04	3.1585511764e-05	4.7578259833e-01	0.0000000000e+00	2.8467890689e-18	0.0000000000e+00	0.0000000000e+00	2.6977294655e-19	1.8537934446e-18	1.3285052773e-24	8.9618410116e-17	5.2344174323e-01	2.5000000000e+00	4.7921221583e-04	1.6459670237e-13	1.4848973478e-30	1.7317139771e-19
2.9512092267e-12	2.5000000000e+00	5.2241596326e-19	4.9872948966e-20	2.6455459672e-04	3.2303446897e-05	4.7523270863e-01	0.0000000000e+00	2.9566451341e-18	0.0000000000e+00	0.0000000000e+00	2.7631977164e-19	1.9515834664e-18	1.4225275231e-24	9.5432846378e-17	5.2398414865e-01	2.5000000000e+00	4.8628467132e-04	1.7074134848e-13	1.6609358183e-30	1.7766602104e-19
3.0199517204e-12	2.5000000000e+00	5.7021078887e-19	5.1095179241e-20	2.6424171774e-04	3.3037083688e-05	4.7467066844e-01	0.0000000000e+00	3.0701204887e-18	0.0000000000e+00	0.0000000000e+00	2.8300978428e-19	2.0542243051e-18	1.5226761439e-24	1.0160607440e-16	5.2453866984e-01	2.5000000000e+00	4.9338292689e-04	1.7707842573e-13	1.8575685501e-30	1.8226076069e-19
3.0902954325e-12	2.5000000000e+00	6.2227775437e-19	5.2344100647e-20	2.6392193402e-04	3.3786741048e-05	4.7409622491e-01	0.0000000000e+00	3.1872985933e-18	0.0000000000e+00	0.0000000000e+00	2.8984589290e-19	2.1619464266e-18	1.6293147752e-24	1.0815874014e-16	5.2510556219e-01	2.5000000000e+00	5.0050422106e-04	1.8361172762e-13	2.0771694530e-30	1.8695773831e-19
3.1622776602e-12	2.5000000000e+00	6.7898822997e-19	5.3620253405e-20	2.6359510230e-04	3.4552743204e-05	4.7350912072e-01	0.0000000000e+00	3.3082627145e-18	0.0000000000e+00	0.0000000000e+00	2.9683105438e-19	2.2749909358e-18	1.7428264096e-24	1.1511255602e-16	5.2568508572e-01	2.5000000000e+00	5.0764572130e-04	1.9034498269e-13	2.3223814925e-30	1.9175911551e-19
3.2359365693e-12	2.5000000000e+00	7.4074476444e-19	5.4924186641e-20	2.6326107678e-04	3.5335419722e-05	4.7290909393e-01	0.0000000000e+00	3.4330957765e-18	0.0000000000e+00	0.0000000000e+00	3.0396827438e-19	2.3936100542e-18	1.8636142997e-24	1.2249034613e-16	5.2627750504e-01	2.5000000000e+00	5.1480452737e-04	1.9728184360e-13	2.5961465855e-30	1.9666709427e-19
3.3113112148e-12	2.5000000000e+00	8.0798358592e-19	5.6256458433e-20	2.6291970908e-04	3.6135105543e-05	4.7229587804e-01	0.0000000000e+00	3.5618802035e-18	0.0000000000e+00	0.0000000000e+00	3.1126060753e-19	2.5180676179e-18	1.9921028992e-24	1.3031609275e-16	5.2688308947e-01	2.5000000000e+00	5.2197767515e-04	2.0442587574e-13	2.9017387453e-30	2.0168391755e-19
3.3884415614e-12	2.5000000000e+00	8.8117729399e-19	5.7617635852e-20	2.6257084826e-04	3.6952140999e-05	4.7166920186e-01	0.0000000000e+00	3.6946977580e-18	0.0000000000e+00	0.0000000000e+00	3.1871115771e-19	2.6486395982e-18	2.1287388370e-24	1.3861498372e-16	5.2750211301e-01	2.5000000000e+00	5.2916214074e-04	2.1178054548e-13	3.2428008014e-30	2.0681186972e-19
3.4673685045e-12	2.5000000000e+00	9.6083774980e-19	5.9008294995e-20	2.6221434073e-04	3.7786871839e-05	4.7102878952e-01	0.0000000000e+00	3.8316293686e-18	0.0000000000e+00	0.0000000000e+00	3.2632307815e-19	2.7856146435e-18	2.2739919373e-24	1.4741346113e-16	5.2813485443e-01	2.5000000000e+00	5.3635484502e-04	2.1934920782e-13	3.6233851005e-30	2.1205327702e-19
3.5481338923e-12	2.5000000000e+00	1.0475191854e-18	6.0429021011e-20	2.6185003028e-04	3.8639649239e-05	4.7037436041e-01	0.0000000000e+00	3.9727549542e-18	0.0000000000e+00	0.0000000000e+00	3.3409957167e-19	2.9292946446e-18	2.4283562725e-24	1.5673927081e-16	5.2878159725e-01	2.5000000000e+00	5.4355265847e-04	2.2713509372e-13	4.0479985673e-30	2.1741050810e-19
