Time            	B2              	M6              	B3              	M1              	S0              	M5              	CH2O            	A1              	C2H4O           	C2              	C4              	A2              	E1              	M4              	C3              	E3              	M2              	E2              	B1              	M3              
2.1877616239e-12	4.7527537991e-03	7.5309425882e-21	2.2220622193e-11	2.8534286140e-17	6.1232561536e-06	6.7531313344e-12	0.0000000000e+00	7.8577230224e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	3.0003901931e-11	3.5979353174e-06	2.2049312357e-10	0.0000000000e+00	1.9633933413e-17	5.8970710430e-16	5.9320202126e-06	9.9523159271e-01	1.0413971703e-20
2.2387211386e-12	4.7915035657e-03	8.2498196643e-21	2.2423786298e-11	2.8551592169e-17	6.1230053992e-06	7.2103346673e-12	0.0000000000e+00	7.8495558277e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	3.1039748579e-11	3.5977709197e-06	2.2909659860e-10	0.0000000000e+00	1.9613524954e-17	6.0517782871e-16	5.9258542776e-06	9.9519284951e-01	1.0800114187e-20
2.2908676528e-12	4.8294542257e-03	9.0347117064e-21	2.2622760707e-11	2.8569283139e-17	6.1227598487e-06	7.6963742838e-12	0.0000000000e+00	7.8412073230e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	3.2105794915e-11	3.5976098801e-06	2.3796927737e-10	0.0000000000e+00	1.9592663335e-17	6.2099226423e-16	5.9195514312e-06	9.9515490555e-01	1.1196612975e-20
2.3442288153e-12	4.8665843061e-03	9.8914335659e-21	2.2817432836e-11	2.8587367192e-17	6.1225195601e-06	8.2129247275e-12	0.0000000000e+00	7.8326736974e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	3.3202653953e-11	3.5974520985e-06	2.4711667438e-10	0.0000000000e+00	1.9571339023e-17	6.3715765127e-16	5.9131087935e-06	9.9511778230e-01	1.1603630475e-20
2.3988329190e-12	4.9028735923e-03	1.0826289341e-20	2.3007696700e-11	2.8605852620e-17	6.1222846158e-06	8.7617484144e-12	0.0000000000e+00	7.8239510704e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	3.4330939706e-11	3.5972975446e-06	2.5654430083e-10	0.0000000000e+00	1.9549542311e-17	6.5368136416e-16	5.9065234310e-06	9.9508149998e-01	1.2021330753e-20
2.4547089157e-12	4.9383032021e-03	1.1846111461e-20	2.3193453301e-11	2.8624747871e-17	6.1220551087e-06	9.3446996798e-12	0.0000000000e+00	7.8150354906e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	3.5491266799e-11	3.5971462277e-06	2.6625766049e-10	0.0000000000e+00	1.9527263311e-17	6.7057091269e-16	5.8997923570e-06	9.9504607747e-01	1.2449879724e-20
2.5118864315e-12	4.9728556561e-03	1.2958302717e-20	2.3374610995e-11	2.8644061546e-17	6.1218311339e-06	9.9637289834e-12	0.0000000000e+00	7.8059229353e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	3.6684250081e-11	3.5969981775e-06	2.7626224573e-10	0.0000000000e+00	1.9504491957e-17	6.8783394364e-16	5.8929125302e-06	9.9501153226e-01	1.2889445338e-20
2.5703957828e-12	5.0065149455e-03	1.4170881435e-20	2.3551085847e-11	2.8663802404e-17	6.1216127836e-06	1.0620887277e-11	0.0000000000e+00	7.7966093096e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	3.7910504247e-11	3.5968534328e-06	2.8656353358e-10	0.0000000000e+00	1.9481218003e-17	7.0547824235e-16	5.8858808545e-06	9.9497788035e-01	1.3340197783e-20
2.6302679919e-12	5.0392665947e-03	1.5492530016e-20	2.3722801962e-11	2.8683979366e-17	6.1214001438e-06	1.1318330538e-11	0.0000000000e+00	7.7870904454e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	3.9170643476e-11	3.5967120352e-06	2.9716698199e-10	0.0000000000e+00	1.9457431017e-17	7.2351173415e-16	5.8786941787e-06	9.9494513623e-01	1.3802309692e-20
2.6915348039e-12	5.0710977204e-03	1.6932647078e-20	2.3889691794e-11	2.8704601513e-17	6.1211932927e-06	1.2058324486e-11	0.0000000000e+00	7.7773621014e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	4.0465281075e-11	3.5965740247e-06	3.0807802617e-10	0.0000000000e+00	1.9433120382e-17	7.4194248580e-16	5.8713492951e-06	9.9491331278e-01	1.4275956348e-20
