Time            	B2              	M6              	B3              	M1              	S0              	M5              	CH2O            	A1              	C2H4O           	C2              	C4              	A2              	E1              	M4              	C3              	E3              	M2              	E2              	B1              	M3              
3.0199517204e-12	3.8272863375e+08	3.3028946761e-08	2.0066370003e+00	3.3421016193e-07	-2.5033123019e+03	1.4665258840e+01	2.9881551335e-04	-1.5760613878e-07	2.1878231059e+02	1.2051058357e+05	-1.2321117558e+05	2.1502906177e+01	-1.7098461536e+03	1.8261414554e+02	9.4342481821e-10	-3.9386841085e-07	2.9863179202e-04	-1.1899801712e+05	-3.8260564337e+08	7.7707082053e-09
3.0902954325e-12	3.6049192023e+08	3.5105348748e-08	1.8900504291e+00	3.3374554688e-07	-2.3614325813e+03	1.5178895608e+01	2.9838693325e-04	-1.5737572464e-07	2.1999837478e+02	1.2024844255e+05	-1.2280832012e+05	2.1553683516e+01	-1.6216016241e+03	1.8326579562e+02	1.0208837463e-09	-3.9329670023e-07	2.9820351181e-04	-1.1882528591e+05	-3.6036933380e+08	7.7730523982e-09
3.1622776602e-12	3.3907409183e+08	3.7301702150e-08	1.7777572536e+00	3.3327103729e-07	-2.2247725457e+03	1.5706291893e+01	2.9794901423e-04	-1.5714022759e-07	2.2116965654e+02	1.1998580818e+05	-1.2241015147e+05	2.1599209212e+01	-1.5365905675e+03	1.8386415539e+02	1.1048163834e-09	-3.9271252316e-07	2.9776590510e-04	-1.1864878835e+05	-3.3895190462e+08	7.7740360902e-09
3.2359365693e-12	3.1847406207e+08	3.9624238410e-08	1.6697517774e+00	3.3278644476e-07	-2.0933251058e+03	1.6247653135e+01	2.9750156813e-04	-1.5689954227e-07	2.2229621527e+02	1.1972259983e+05	-1.2201658198e+05	2.1639467080e+01	-1.4548082842e+03	1.8440909501e+02	1.1957566440e-09	-3.9211562859e-07	2.9731878429e-04	-1.1846844859e+05	-3.1835226945e+08	7.7737159300e-09
3.3113112148e-12	2.9868917484e+08	4.2079469391e-08	1.5660200745e+00	3.3229157837e-07	-1.9670732319e+03	1.6803182954e+01	2.9704440369e-04	-1.5665356145e-07	2.2337819623e+02	1.1945872950e+05	-1.2162750678e+05	2.1674448462e+01	-1.3762440143e+03	1.8490056477e+02	1.2942808113e-09	-3.9150576134e-07	2.9686195873e-04	-1.1828418953e+05	-2.9856777228e+08	7.7721477729e-09
3.3884415614e-12	2.7971521248e+08	4.4674197558e-08	1.4665400318e+00	3.3178624474e-07	-1.8459899652e+03	1.7373083107e+01	2.9657732660e-04	-1.5640217605e-07	2.2441583009e+02	1.1919410177e+05	-1.2124280371e+05	2.1704152190e+01	-1.3008808890e+03	1.8533859474e+02	1.4010107190e-09	-3.9088266217e-07	2.9639523475e-04	-1.1809593285e+05	-2.7959419556e+08	7.7693864495e-09
3.4673685045e-12	2.6154641093e+08	4.7415526414e-08	1.3712814285e+00	3.3127024801e-07	-1.7300384995e+03	1.7957553447e+01	2.9610013943e-04	-1.5614527507e-07	2.2540943205e+02	1.1892861378e+05	-1.2086233342e+05	2.1728584523e+01	-1.2286959521e+03	1.8572329403e+02	1.5166171565e-09	-3.9024606768e-07	2.9591841561e-04	-1.1790359897e+05	-2.6142577538e+08	7.7654855495e-09
3.5481338923e-12	2.4417548223e+08	5.0310871190e-08	1.2802060540e+00	3.3074338992e-07	-1.6191723173e+03	1.8556791900e+01	2.9561264165e-04	-1.5588274565e-07	2.2635940068e+02	1.1866215536e+05	-1.2048593961e+05	2.1747759039e+01	-1.1596602314e+03	1.8605484969e+02	1.6418235136e-09	-3.8959571035e-07	2.9543130155e-04	-1.1770710706e+05	-2.4405522393e+08	7.7604972187e-09
3.6307805477e-12	2.2759364425e+08	5.3367969794e-08	1.1932678638e+00	3.3020546979e-07	-1.5133353753e+03	1.9170994457e+01	2.9511462962e-04	-1.5561447299e-07	2.2726621624e+02	1.1839460908e+05	-1.2011344927e+05	2.1761696503e+01	-1.0937388486e+03	1.8633352523e+02	1.7774096778e-09	-3.8893131852e-07	2.9493368972e-04	-1.1750637505e+05	-2.2747375926e+08	7.7544719731e-09
3.7153522910e-12	2.1179065775e+08	5.6594894008e-08	1.1104131738e+00	3.2965628459e-07	-1.4124623405e+03	1.9800355167e+01	2.9460589657e-04	-1.5534034037e-07	2.2813043870e+02	1.1812585045e+05	-1.1974467310e+05	2.1770424692e+01	-1.0308911624e+03	1.8655965879e+02	1.9242162026e-09	-3.8825261637e-07	2.9442537425e-04	-1.1730131960e+05	-2.1167114232e+08	7.7474585307e-09
3.8018939632e-12	1.9675487060e+08	6.0000060955e-08	1.0315808922e+00	3.2909562898e-07	-1.3164788703e+03	2.0445066149e+01	2.9408623262e-04	-1.5506022914e-07	2.2895270528e+02	1.1785574804e+05	-1.1937940593e+05	2.1773978185e+01	-9.7107094165e+02	1.8673366088e+02	2.0831487633e-09	-3.8755932393e-07	2.9390614618e-04	-1.1709185612e+05	-1.9663572118e+08	7.7395036607e-09
3.8904514499e-12	1.8247326901e+08	6.3592244811e-08	9.5670278790e-01	3.2852329535e-07	-1.2253019390e+03	2.1105317614e+01	2.9355542476e-04	-1.5477401871e-07	2.2973372766e+02	1.1758416372e+05	-1.1901742728e+05	2.1772398124e+01	-9.1422656760e+02	1.8685601185e+02	2.2551829186e-09	-3.8685115705e-07	2.9337579352e-04	-1.1687789877e+05	-1.8235448227e+08	7.7306520530e-09
3.9810717055e-12	1.6893153568e+08	6.7380588787e-08	8.8570379570e-01	3.2793907384e-07	-1.1388402095e+03	2.1781297892e+01	2.9301325686e-04	-1.5448158652e-07	2.3047428881e+02	1.1731095286e+05	-1.1865850192e+05	2.1765731939e+01	-8.6030126337e+02	1.8692725891e+02	2.4413691981e-09	-3.8612782745e-07	2.9283410123e-04	-1.1665936045e+05	-1.6881310854e+08	7.7209462065e-09
